id,timestamp,prob,type
IV.CAMP.,2016-10-30 00:01:23.730,0.63839567,s
IV.FDMO.,2016-10-30 00:01:30.090,0.97463596,p
IV.FDMO.,2016-10-30 00:01:30.980,0.90443474,s
IV.CSP1.,2016-10-30 00:01:31.210,0.98803616,p
IV.CSP1.,2016-10-30 00:01:33.100,0.881755,s
IV.MMO1.,2016-10-30 00:01:33.950,0.97826487,p
IV.MMO1.,2016-10-30 00:01:38.100,0.85478705,s
IV.RM33.,2016-10-30 00:01:39.480,0.9013922,p
IV.CAMP.,2016-10-30 00:01:39.680,0.96170723,p
IV.CAMP.,2016-10-30 00:01:48.690,0.6615039,s
IV.MMO1.,2016-10-30 00:04:44.260,0.984929,p
IV.MMO1.,2016-10-30 00:04:46.590,0.9406761,s
IV.RM33.,2016-10-30 00:04:49.190,0.94367784,p
IV.CAMP.,2016-10-30 00:04:49.310,0.97097015,p
IV.RM33.,2016-10-30 00:04:55.720,0.6250622,s
IV.CAMP.,2016-10-30 00:04:55.860,0.80424404,s
IV.FDMO.,2016-10-30 00:06:09.060,0.74667966,p
IV.MMO1.,2016-10-30 00:06:10.650,0.7653913,p
IV.MMO1.,2016-10-30 00:06:13.340,0.7458724,s
IV.MMO1.,2016-10-30 00:07:28.490,0.9361453,p
IV.FDMO.,2016-10-30 00:07:28.950,0.961995,p
IV.RM33.,2016-10-30 00:07:30.750,0.9221371,p
IV.MMO1.,2016-10-30 00:07:31.660,0.8931088,s
IV.FDMO.,2016-10-30 00:07:32.660,0.81153286,s
IV.RM33.,2016-10-30 00:07:36.070,0.62281954,s
IV.RM33.,2016-10-30 00:08:45.420,0.9005708,p
IV.RM33.,2016-10-30 00:08:48.940,0.80876267,s
IV.FDMO.,2016-10-30 00:09:28.330,0.68644214,p
IV.MMO1.,2016-10-30 00:09:28.870,0.9480125,p
IV.FDMO.,2016-10-30 00:09:30.720,0.7248891,s
IV.MMO1.,2016-10-30 00:09:32.040,0.7621763,s
IV.MMO1.,2016-10-30 00:10:19.070,0.5864088,p
IV.MMO1.,2016-10-30 00:10:21.340,0.61030763,s
IV.MMO1.,2016-10-30 00:10:41.910,0.7873502,p
IV.FDMO.,2016-10-30 00:10:42.160,0.5174855,p
IV.RM33.,2016-10-30 00:10:44.030,0.68757695,p
IV.MMO1.,2016-10-30 00:10:45.210,0.88033175,s
IV.FDMO.,2016-10-30 00:10:45.770,0.7301474,s
IV.RM33.,2016-10-30 00:10:49.340,0.70391035,s
IV.MMO1.,2016-10-30 00:11:51.330,0.97665954,p
IV.FDMO.,2016-10-30 00:11:51.890,0.87405753,p
IV.MMO1.,2016-10-30 00:11:53.800,0.9431422,s
IV.FDMO.,2016-10-30 00:11:54.670,0.73473525,s
IV.RM33.,2016-10-30 00:11:55.410,0.9687706,p
IV.RM33.,2016-10-30 00:12:01.560,0.6893831,s
IV.FDMO.,2016-10-30 00:12:23.920,0.96542406,p
IV.MMO1.,2016-10-30 00:12:24.590,0.974179,p
IV.FDMO.,2016-10-30 00:12:26.860,0.8084708,s
IV.RM33.,2016-10-30 00:12:27.570,0.87716985,p
IV.MMO1.,2016-10-30 00:12:28.060,0.92320675,s
IV.RM33.,2016-10-30 00:12:33.750,0.6571086,s
IV.FDMO.,2016-10-30 00:13:48.900,0.97154605,p
IV.FDMO.,2016-10-30 00:13:49.700,0.8330491,s
IV.MMO1.,2016-10-30 00:14:28.550,0.9512933,p
IV.FDMO.,2016-10-30 00:14:28.570,0.838271,p
IV.RM33.,2016-10-30 00:14:31.450,0.78843814,p
IV.FDMO.,2016-10-30 00:14:32.040,0.8797688,s
IV.MMO1.,2016-10-30 00:14:32.180,0.8830413,s
IV.RM33.,2016-10-30 00:14:36.590,0.5102743,s
