id,timestamp,prob,type
IV.RM33.,2016-10-30 00:01:39.480,0.9013922,p
IV.RM33.,2016-10-30 00:04:49.190,0.94367784,p
IV.RM33.,2016-10-30 00:04:55.720,0.6250622,s
IV.RM33.,2016-10-30 00:07:30.750,0.9221371,p
IV.RM33.,2016-10-30 00:07:36.070,0.62281954,s
IV.RM33.,2016-10-30 00:08:45.420,0.9005708,p
IV.RM33.,2016-10-30 00:08:48.940,0.80876267,s
IV.RM33.,2016-10-30 00:10:44.030,0.68757695,p
IV.RM33.,2016-10-30 00:10:49.340,0.70391035,s
IV.RM33.,2016-10-30 00:11:55.410,0.9687706,p
IV.RM33.,2016-10-30 00:12:01.560,0.6893831,s
IV.RM33.,2016-10-30 00:12:27.570,0.87716985,p
IV.RM33.,2016-10-30 00:12:33.750,0.6571086,s
IV.RM33.,2016-10-30 00:14:31.450,0.78843814,p
IV.RM33.,2016-10-30 00:14:36.590,0.5102743,s
IV.RM33.,2016-10-30 00:18:17.520,0.85528904,p
IV.RM33.,2016-10-30 00:18:22.630,0.6395912,s
IV.RM33.,2016-10-30 00:18:35.170,0.7937722,p
IV.RM33.,2016-10-30 00:18:40.750,0.5441322,s
IV.RM33.,2016-10-30 00:19:32.070,0.5369401,s
IV.RM33.,2016-10-30 00:21:36.980,0.8077678,p
IV.RM33.,2016-10-30 00:24:02.620,0.9082263,p
IV.RM33.,2016-10-30 00:24:08.220,0.5660807,s
IV.RM33.,2016-10-30 00:25:01.990,0.8055851,p
IV.RM33.,2016-10-30 00:25:48.320,0.5236721,p
IV.RM33.,2016-10-30 00:30:46.610,0.8820416,p
IV.RM33.,2016-10-30 00:30:52.530,0.599507,s
IV.RM33.,2016-10-30 00:32:12.050,0.9749757,p
IV.RM33.,2016-10-30 00:32:17.240,0.81956595,s
IV.RM33.,2016-10-30 00:37:22.380,0.67312086,p
IV.RM33.,2016-10-30 00:37:28.100,0.55847394,s
IV.RM33.,2016-10-30 00:39:25.910,0.72820634,p
IV.RM33.,2016-10-30 00:39:27.520,0.7086894,s
IV.RM33.,2016-10-30 00:40:29.050,0.7977115,p
IV.RM33.,2016-10-30 00:41:03.210,0.64316165,p
IV.RM33.,2016-10-30 00:42:33.340,0.6382901,p
IV.RM33.,2016-10-30 00:42:38.520,0.5668665,s
IV.RM33.,2016-10-30 00:43:52.230,0.5274667,p
IV.RM33.,2016-10-30 00:43:57.720,0.57584107,s
IV.RM33.,2016-10-30 00:45:53.910,0.7424302,p
IV.RM33.,2016-10-30 00:45:59.730,0.6172001,s
IV.RM33.,2016-10-30 00:48:02.330,0.62629306,p
IV.RM33.,2016-10-30 00:48:07.770,0.59797835,s
IV.RM33.,2016-10-30 00:48:43.860,0.5075868,p
IV.RM33.,2016-10-30 00:52:13.160,0.8584658,p
IV.RM33.,2016-10-30 00:52:21.520,0.51356417,s
IV.RM33.,2016-10-30 00:53:00.170,0.87460685,p
IV.RM33.,2016-10-30 00:53:06.230,0.59444195,s
IV.RM33.,2016-10-30 00:54:35.490,0.9209775,p
IV.RM33.,2016-10-30 00:54:40.120,0.66109216,s
IV.RM33.,2016-10-30 00:57:58.140,0.82186973,p
IV.RM33.,2016-10-30 00:58:04.020,0.6320964,s
IV.RM33.,2016-10-30 00:59:00.400,0.88349384,p
IV.RM33.,2016-10-30 00:59:04.740,0.59376544,s
IV.RM33.,2016-10-30 01:00:45.480,0.51098037,p
IV.RM33.,2016-10-30 01:01:05.070,0.87807244,p
IV.RM33.,2016-10-30 01:01:08.990,0.8240644,s
IV.RM33.,2016-10-30 01:03:08.460,0.7062541,p
IV.RM33.,2016-10-30 01:03:14.250,0.56502104,s
IV.RM33.,2016-10-30 01:03:44.340,0.7639953,p
IV.RM33.,2016-10-30 01:03:51.170,0.58257914,s
IV.RM33.,2016-10-30 01:04:34.870,0.967099,p
IV.RM33.,2016-10-30 01:04:41.230,0.57962024,s
IV.RM33.,2016-10-30 01:06:08.420,0.9235087,p
IV.RM33.,2016-10-30 01:07:52.380,0.93989354,p
IV.RM33.,2016-10-30 01:09:17.730,0.560969,p
IV.RM33.,2016-10-30 01:09:22.860,0.71581787,s
IV.RM33.,2016-10-30 01:10:52.100,0.93667275,p
IV.RM33.,2016-10-30 01:12:42.890,0.9655037,p
IV.RM33.,2016-10-30 01:12:46.030,0.9341095,s
IV.RM33.,2016-10-30 01:14:12.890,0.9334692,p
IV.RM33.,2016-10-30 01:14:15.970,0.9276104,s
IV.RM33.,2016-10-30 01:16:08.690,0.6097314,p
IV.RM33.,2016-10-30 01:17:53.260,0.8488587,p
IV.RM33.,2016-10-30 01:17:57.020,0.86736494,s
IV.RM33.,2016-10-30 01:25:48.720,0.5128796,p
IV.RM33.,2016-10-30 01:25:54.970,0.60229707,s
IV.RM33.,2016-10-30 01:30:50.340,0.86640716,p
IV.RM33.,2016-10-30 01:30:56.270,0.5274737,s
IV.RM33.,2016-10-30 01:31:22.620,0.9407376,p
IV.RM33.,2016-10-30 01:31:26.570,0.8808303,s
IV.RM33.,2016-10-30 01:32:49.910,0.9590094,p
IV.RM33.,2016-10-30 01:32:53.270,0.83113694,s
IV.RM33.,2016-10-30 01:35:51.440,0.8238672,p
IV.RM33.,2016-10-30 01:35:56.920,0.5456864,s
IV.RM33.,2016-10-30 01:38:36.130,0.5644873,s
IV.RM33.,2016-10-30 01:40:16.020,0.9649642,p
IV.RM33.,2016-10-30 01:40:19.390,0.8521862,s
IV.RM33.,2016-10-30 01:44:15.060,0.94712067,p
IV.RM33.,2016-10-30 01:44:20.510,0.78777605,s
IV.RM33.,2016-10-30 01:45:04.970,0.8630253,p
IV.RM33.,2016-10-30 01:45:12.050,0.5625582,s
IV.RM33.,2016-10-30 01:47:20.420,0.9781818,p
IV.RM33.,2016-10-30 01:47:25.670,0.7948545,s
IV.RM33.,2016-10-30 01:48:40.920,0.9693687,p
IV.RM33.,2016-10-30 01:48:46.410,0.7363088,s
IV.RM33.,2016-10-30 01:51:52.760,0.5498071,s
IV.RM33.,2016-10-30 01:54:04.480,0.8167255,s
IV.RM33.,2016-10-30 02:03:28.970,0.6545881,s
