id,timestamp,prob,type,event_idx,event_index,prob_gamma
CAMP,2016-10-30 00:01:23.730,0.63839567,s,,,
FDMO,2016-10-30 00:01:30.090,0.97463596,p,3.0,3.0,0.013217095602885705
FDMO,2016-10-30 00:01:30.980,0.90443474,s,3.0,3.0,0.39693948009950875
CSP1,2016-10-30 00:01:31.210,0.98803616,p,3.0,3.0,0.3594737729525803
CSP1,2016-10-30 00:01:33.100,0.881755,s,3.0,3.0,0.4162662810787218
MMO1,2016-10-30 00:01:33.950,0.97826487,p,3.0,3.0,0.3532068070037279
MMO1,2016-10-30 00:01:38.100,0.85478705,s,3.0,3.0,0.3947320796513517
RM33,2016-10-30 00:01:39.480,0.9013922,p,3.0,3.0,0.35830858322193443
CAMP,2016-10-30 00:01:39.680,0.96170723,p,3.0,3.0,0.3676245330910966
CAMP,2016-10-30 00:01:48.690,0.6615039,s,3.0,3.0,0.36588155154394464
MMO1,2016-10-30 00:04:44.260,0.984929,p,12.0,12.0,0.5173128357193867
MMO1,2016-10-30 00:04:46.590,0.9406761,s,12.0,12.0,0.5064243755047677
RM33,2016-10-30 00:04:49.190,0.94367784,p,12.0,12.0,0.5077907658989084
CAMP,2016-10-30 00:04:49.310,0.97097015,p,12.0,12.0,0.5259506712430208
RM33,2016-10-30 00:04:55.720,0.6250622,s,12.0,12.0,0.3392411372380681
CAMP,2016-10-30 00:04:55.860,0.80424404,s,12.0,12.0,0.43745591578807874
FDMO,2016-10-30 00:06:09.060,0.74667966,p,,,
MMO1,2016-10-30 00:06:10.650,0.7653913,p,,,
MMO1,2016-10-30 00:06:13.340,0.7458724,s,,,
MMO1,2016-10-30 00:07:28.490,0.9361453,p,0.0,0.0,0.4211540082452026
FDMO,2016-10-30 00:07:28.950,0.961995,p,0.0,0.0,0.43703262839885104
RM33,2016-10-30 00:07:30.750,0.9221371,p,0.0,0.0,0.4137074251564562
MMO1,2016-10-30 00:07:31.660,0.8931088,s,0.0,0.0,0.40446790062086274
FDMO,2016-10-30 00:07:32.660,0.81153286,s,0.0,0.0,0.36871957399840055
RM33,2016-10-30 00:07:36.070,0.62281954,s,0.0,0.0,0.2817987345912599
RM33,2016-10-30 00:08:45.420,0.9005708,p,,,
RM33,2016-10-30 00:08:48.940,0.80876267,s,,,
FDMO,2016-10-30 00:09:28.330,0.68644214,p,,,
MMO1,2016-10-30 00:09:28.870,0.9480125,p,,,
FDMO,2016-10-30 00:09:30.720,0.7248891,s,,,
MMO1,2016-10-30 00:09:32.040,0.7621763,s,,,
MMO1,2016-10-30 00:10:19.070,0.5864088,p,,,
MMO1,2016-10-30 00:10:21.340,0.61030763,s,,,
MMO1,2016-10-30 00:10:41.910,0.7873502,p,14.0,14.0,0.044424648113485406
FDMO,2016-10-30 00:10:42.160,0.5174855,p,14.0,14.0,0.04623515490169661
RM33,2016-10-30 00:10:44.030,0.68757695,p,14.0,14.0,0.26035485392036506
MMO1,2016-10-30 00:10:45.210,0.88033175,s,14.0,14.0,0.17238055711144332
FDMO,2016-10-30 00:10:45.770,0.7301474,s,14.0,14.0,0.2257233673141943
RM33,2016-10-30 00:10:49.340,0.70391035,s,14.0,14.0,0.2927269941046599
MMO1,2016-10-30 00:11:51.330,0.97665954,p,9.0,9.0,0.23402083873712362
FDMO,2016-10-30 00:11:51.890,0.87405753,p,9.0,9.0,0.20761692520168534
MMO1,2016-10-30 00:11:53.800,0.9431422,s,9.0,9.0,0.22705217577955
FDMO,2016-10-30 00:11:54.670,0.73473525,s,9.0,9.0,0.176371723827101
RM33,2016-10-30 00:11:55.410,0.9687706,p,9.0,9.0,0.2235284720378102
RM33,2016-10-30 00:12:01.560,0.6893831,s,9.0,9.0,0.16384953521880657
FDMO,2016-10-30 00:12:23.920,0.96542406,p,10.0,10.0,0.23402083873712362
MMO1,2016-10-30 00:12:24.590,0.974179,p,10.0,10.0,0.20761692520168534
FDMO,2016-10-30 00:12:26.860,0.8084708,s,10.0,10.0,0.22705217577955
RM33,2016-10-30 00:12:27.570,0.87716985,p,10.0,10.0,0.176371723827101
MMO1,2016-10-30 00:12:28.060,0.92320675,s,10.0,10.0,0.2235284720378102
RM33,2016-10-30 00:12:33.750,0.6571086,s,10.0,10.0,0.16384953521880657
FDMO,2016-10-30 00:13:48.900,0.97154605,p,,,
FDMO,2016-10-30 00:13:49.700,0.8330491,s,,,
MMO1,2016-10-30 00:14:28.550,0.9512933,p,13.0,13.0,0.43711047085472166
FDMO,2016-10-30 00:14:28.570,0.838271,p,13.0,13.0,0.3896301276885983
RM33,2016-10-30 00:14:31.450,0.78843814,p,13.0,13.0,0.35874869510524426
FDMO,2016-10-30 00:14:32.040,0.8797688,s,13.0,13.0,0.40930903918805467
MMO1,2016-10-30 00:14:32.180,0.8830413,s,13.0,13.0,0.40927836050491734
RM33,2016-10-30 00:14:36.590,0.5102743,s,13.0,13.0,0.23573384772518977
FDMO,2016-10-30 00:16:27.670,0.65104544,p,,,
MMO1,2016-10-30 00:16:29.660,0.6751036,p,,,
FDMO,2016-10-30 00:16:30.010,0.558671,s,,,
MMO1,2016-10-30 00:16:33.180,0.8217697,s,,,
FDMO,2016-10-30 00:17:13.480,0.8459397,p,,,
FDMO,2016-10-30 00:17:14.520,0.59489375,s,,,
FDMO,2016-10-30 00:17:47.180,0.8731957,p,,,
FDMO,2016-10-30 00:17:49.150,0.66213685,s,,,
FDMO,2016-10-30 00:18:11.660,0.62367743,p,,,
FDMO,2016-10-30 00:18:15.580,0.51441926,p,,,
RM33,2016-10-30 00:18:17.520,0.85528904,p,,,
RM33,2016-10-30 00:18:22.630,0.6395912,s,,,
MMO1,2016-10-30 00:18:32.440,0.8590029,p,16.0,16.0,0.038638671819920443
