id,timestamp,prob,type,event_idx,event_index,prob_gamma
MMO1,2016-10-30 00:07:28.490,0.9361453,p,0.0,0.0,0.4211540082452026
FDMO,2016-10-30 00:07:28.950,0.961995,p,0.0,0.0,0.43703262839885104
RM33,2016-10-30 00:07:30.750,0.9221371,p,0.0,0.0,0.4137074251564562
MMO1,2016-10-30 00:07:31.660,0.8931088,s,0.0,0.0,0.40446790062086274
FDMO,2016-10-30 00:07:32.660,0.81153286,s,0.0,0.0,0.36871957399840055
RM33,2016-10-30 00:07:36.070,0.62281954,s,0.0,0.0,0.2817987345912599
FDMO,2016-10-30 00:24:52.880,0.968717,p,1.0,1.0,0.2958455385415227
FDMO,2016-10-30 00:24:53.490,0.6539475,s,1.0,1.0,0.20248545682782987
MMO1,2016-10-30 00:24:56.280,0.96189976,p,1.0,1.0,0.293735949927479
MMO1,2016-10-30 00:24:59.940,0.6299758,s,1.0,1.0,0.1950533831167127
RM33,2016-10-30 00:25:01.990,0.8055851,p,1.0,1.0,0.251140637641914
FDMO,2016-10-30 00:40:53.560,0.9694612,p,2.0,2.0,0.4608350124064439
FDMO,2016-10-30 00:40:54.320,0.80090034,s,2.0,2.0,0.38342551912536427
MMO1,2016-10-30 00:40:57.500,0.9496275,p,2.0,2.0,0.4514106167777792
MMO1,2016-10-30 00:41:01.580,0.87199837,s,2.0,2.0,0.417463100028216
RM33,2016-10-30 00:41:03.210,0.64316165,p,2.0,2.0,0.3090080225631356
FDMO,2016-10-30 00:01:30.090,0.97463596,p,3.0,3.0,0.013217095602885705
FDMO,2016-10-30 00:01:30.980,0.90443474,s,3.0,3.0,0.39693948009950875
CSP1,2016-10-30 00:01:31.210,0.98803616,p,3.0,3.0,0.3594737729525803
CSP1,2016-10-30 00:01:33.100,0.881755,s,3.0,3.0,0.4162662810787218
MMO1,2016-10-30 00:01:33.950,0.97826487,p,3.0,3.0,0.3532068070037279
MMO1,2016-10-30 00:01:38.100,0.85478705,s,3.0,3.0,0.3947320796513517
RM33,2016-10-30 00:01:39.480,0.9013922,p,3.0,3.0,0.35830858322193443
CAMP,2016-10-30 00:01:39.680,0.96170723,p,3.0,3.0,0.3676245330910966
CAMP,2016-10-30 00:01:48.690,0.6615039,s,3.0,3.0,0.36588155154394464
FDMO,2016-10-30 00:21:27.460,0.92594814,p,4.0,4.0,0.41898617617020856
FDMO,2016-10-30 00:21:28.380,0.8813863,s,4.0,4.0,0.3999873950194997
MMO1,2016-10-30 00:21:31.390,0.9401854,p,4.0,4.0,0.4254269917100938
MMO1,2016-10-30 00:21:35.480,0.78994083,s,4.0,4.0,0.35848991599817975
RM33,2016-10-30 00:21:36.980,0.8077678,p,4.0,4.0,0.367118294955167
MMO1,2016-10-30 00:32:09.990,0.89665955,p,5.0,5.0,0.394218677028261
FDMO,2016-10-30 00:32:10.510,0.97622144,p,5.0,5.0,0.43000922556213544
RM33,2016-10-30 00:32:12.050,0.9749757,p,5.0,5.0,0.42644530751274806
MMO1,2016-10-30 00:32:13.320,0.7552916,s,5.0,5.0,0.3327564922664803
FDMO,2016-10-30 00:32:14.270,0.8505769,s,5.0,5.0,0.3749718874766466
RM33,2016-10-30 00:32:17.240,0.81956595,s,5.0,5.0,0.36045515183138993
MMO1,2016-10-30 00:43:47.720,0.95654106,p,6.0,6.0,0.419480704127078
FDMO,2016-10-30 00:43:49.250,0.6702676,p,6.0,6.0,0.2939392973105071
MMO1,2016-10-30 00:43:49.910,0.9034139,s,6.0,6.0,0.3961829847820745
RM33,2016-10-30 00:43:52.230,0.5274667,p,6.0,6.0,0.23131471659262182
RM33,2016-10-30 00:43:57.720,0.57584107,s,6.0,6.0,0.252529192758805
FDMO,2016-10-30 00:37:16.900,0.93479854,p,7.0,7.0,0.313604015705706
MMO1,2016-10-30 00:37:17.960,0.9514865,p,7.0,7.0,0.31952771124135954
RM33,2016-10-30 00:37:22.380,0.67312086,p,7.0,7.0,0.22382823099867588
RM33,2016-10-30 00:37:28.100,0.55847394,s,7.0,7.0,0.1864215943249126
MMO1,2016-10-30 00:30:40.750,0.9797292,p,8.0,8.0,0.4440303049695991
MMO1,2016-10-30 00:30:42.000,0.8936806,s,8.0,8.0,0.40883660106833164
FDMO,2016-10-30 00:30:43.030,0.71108335,p,8.0,8.0,0.32529998310105723
FDMO,2016-10-30 00:30:46.380,0.6405682,s,8.0,8.0,0.2939595374529024
RM33,2016-10-30 00:30:46.610,0.8820416,p,8.0,8.0,0.40440018443259074
RM33,2016-10-30 00:30:52.530,0.599507,s,8.0,8.0,0.2753190308671617
MMO1,2016-10-30 00:11:51.330,0.97665954,p,9.0,9.0,0.23402083873712362
FDMO,2016-10-30 00:11:51.890,0.87405753,p,9.0,9.0,0.20761692520168534
MMO1,2016-10-30 00:11:53.800,0.9431422,s,9.0,9.0,0.22705217577955
FDMO,2016-10-30 00:11:54.670,0.73473525,s,9.0,9.0,0.176371723827101
RM33,2016-10-30 00:11:55.410,0.9687706,p,9.0,9.0,0.2235284720378102
RM33,2016-10-30 00:12:01.560,0.6893831,s,9.0,9.0,0.16384953521880657
FDMO,2016-10-30 00:12:23.920,0.96542406,p,10.0,10.0,0.23402083873712362
MMO1,2016-10-30 00:12:24.590,0.974179,p,10.0,10.0,0.20761692520168534
FDMO,2016-10-30 00:12:26.860,0.8084708,s,10.0,10.0,0.22705217577955
RM33,2016-10-30 00:12:27.570,0.87716985,p,10.0,10.0,0.176371723827101
MMO1,2016-10-30 00:12:28.060,0.92320675,s,10.0,10.0,0.2235284720378102
RM33,2016-10-30 00:12:33.750,0.6571086,s,10.0,10.0,0.16384953521880657
MMO1,2016-10-30 00:42:30.910,0.9208528,p,11.0,11.0,0.38376264011959066
FDMO,2016-10-30 00:42:31.530,0.9368715,p,11.0,11.0,0.3904425115361355
RM33,2016-10-30 00:42:33.340,0.6382901,p,11.0,11.0,0.26600549186169
MMO1,2016-10-30 00:42:34.300,0.6779692,s,11.0,11.0,0.2825436106077294
RM33,2016-10-30 00:42:38.520,0.5668665,s,11.0,11.0,0.23624157669280518
MMO1,2016-10-30 00:04:44.260,0.984929,p,12.0,12.0,0.5173128357193867
MMO1,2016-10-30 00:04:46.590,0.9406761,s,12.0,12.0,0.5064243755047677
RM33,2016-10-30 00:04:49.190,0.94367784,p,12.0,12.0,0.5077907658989084
CAMP,2016-10-30 00:04:49.310,0.97097015,p,12.0,12.0,0.5259506712430208
RM33,2016-10-30 00:04:55.720,0.6250622,s,12.0,12.0,0.3392411372380681
CAMP,2016-10-30 00:04:55.860,0.80424404,s,12.0,12.0,0.43745591578807874
MMO1,2016-10-30 00:14:28.550,0.9512933,p,13.0,13.0,0.43711047085472166
FDMO,2016-10-30 00:14:28.570,0.838271,p,13.0,13.0,0.3896301276885983
RM33,2016-10-30 00:14:31.450,0.78843814,p,13.0,13.0,0.35874869510524426
FDMO,2016-10-30 00:14:32.040,0.8797688,s,13.0,13.0,0.40930903918805467
MMO1,2016-10-30 00:14:32.180,0.8830413,s,13.0,13.0,0.40927836050491734
RM33,2016-10-30 00:14:36.590,0.5102743,s,13.0,13.0,0.23573384772518977
MMO1,2016-10-30 00:10:41.910,0.7873502,p,14.0,14.0,0.044424648113485406
FDMO,2016-10-30 00:10:42.160,0.5174855,p,14.0,14.0,0.04623515490169661
RM33,2016-10-30 00:10:44.030,0.68757695,p,14.0,14.0,0.26035485392036506
MMO1,2016-10-30 00:10:45.210,0.88033175,s,14.0,14.0,0.17238055711144332
FDMO,2016-10-30 00:10:45.770,0.7301474,s,14.0,14.0,0.2257233673141943
RM33,2016-10-30 00:10:49.340,0.70391035,s,14.0,14.0,0.2927269941046599
FDMO,2016-10-30 00:40:19.510,0.9775934,p,15.0,15.0,0.44492770624169514
FDMO,2016-10-30 00:40:20.290,0.87204015,s,15.0,15.0,0.4001677081875463
MMO1,2016-10-30 00:40:23.430,0.97391146,p,15.0,15.0,0.44324404932571565
MMO1,2016-10-30 00:40:27.570,0.90247905,s,15.0,15.0,0.41413562783333435
RM33,2016-10-30 00:40:29.050,0.7977115,p,15.0,15.0,0.3675757724536748
MMO1,2016-10-30 00:18:32.440,0.8590029,p,16.0,16.0,0.038638671819920443
FDMO,2016-10-30 00:18:32.750,0.6846247,p,16.0,16.0,0.029299375211107762
RM33,2016-10-30 00:18:35.170,0.7937722,p,16.0,16.0,0.03839617049042906
MMO1,2016-10-30 00:18:35.570,0.8857397,s,16.0,16.0,0.010233605417804733
FDMO,2016-10-30 00:18:36.080,0.63957524,s,16.0,16.0,0.06436502400854406
RM33,2016-10-30 00:18:40.750,0.5441322,s,16.0,16.0,0.03822017935733413
